AERO ENG 2001  Special Topics (LAB 1.0 and LEC 1.0)
AERO ENG 2360  Dynamics (LEC 3.0)
AERO ENG 2780  Introduction to Aerospace Design (LAB 1.0 and LEC 1.0)
AERO ENG 2790  Introduction to Spacecraft Design (LAB 1.0 and LEC 1.0)
AERO ENG 2861  Aerospace Vehicle Performance (LEC 3.0)
AERO ENG 3000  Special Problems (IND 0.0-6.0)
AERO ENG 3001  Special Topics (IND 0.0-6.0)
AERO ENG 3002  Cooperative Engineering Training (IND 0.0-6.0)
AERO ENG 3010  Seminar in Aerospace Engineering (RSD 1.0)
AERO ENG 3131  Aerodynamics I (LEC 3.0)
AERO ENG 3171  Aerodynamics II (LEC 3.0)
AERO ENG 3251  Aerospace Structures I (LEC 3.0)
AERO ENG 3361  Flight Dynamics and Control (LEC 3.0)
AERO ENG 3613  Aerospace Mechanics I (LEC 3.0)
AERO ENG 3877  Principles of Engineering Materials (LEC 3.0)
AERO ENG 4000  Special Problems (IND 0.0-6.0)
AERO ENG 4001  Special Topics (LAB 0.0 and LEC 0.0)
AERO ENG 4099  Undergraduate Research (IND 0.0-6.0)
AERO ENG 4133  Introduction to Aerothermochemistry (LEC 3.0)
AERO ENG 4253  Aerospace Structures II (LEC 3.0)
AERO ENG 4535  Aircraft and Space Vehicle Propulsion (LEC 3.0)
AERO ENG 4780  Aerospace Systems Design I (LEC 2.0)
AERO ENG 4781  Aerospace Systems Design II (LAB 3.0)
AERO ENG 4790  Spacecraft Design I (LEC 3.0)
AERO ENG 4791  Spacecraft Design II (LAB 3.0)
AERO ENG 4882  Experimental Methods in Aerospace Engineering I (LAB 2.0)
AERO ENG 4883  Experimental Methods in Aerospace Engineering II (LAB 2.0)
AERO ENG 4885  Assessment (LEC 1.0)
AERO ENG 5000  Special Problems (IND 0.0-6.0)
AERO ENG 5001  Special Topics (LEC 0.0-6.0)
AERO ENG 5131  Intermediate Thermofluid Mechanics (LEC 3.0)
AERO ENG 5139  Computational Fluid Dynamics (LEC 3.0)
AERO ENG 5169  Introduction to Hypersonic Flow (LEC 3.0)
AERO ENG 5171  V/Stol Aerodynamics (LEC 3.0)
AERO ENG 5212  Introduction to Finite Element Analysis (LEC 3.0)
AERO ENG 5220  Advanced Mechanics of Materials (LEC 3.0)
AERO ENG 5222  Introduction to Solid Mechanics (LEC 3.0)
AERO ENG 5229  Smart Materials and Sensors (LAB 1.0 and LEC 2.0)
AERO ENG 5234  Stability of Engineering Structures (LEC 3.0)
AERO ENG 5236  Fracture Mechanics (LEC 3.0)
AERO ENG 5238  Fatigue Analysis (LEC 3.0)
AERO ENG 5282  Introduction to Composite Materials & Structures (LEC 3.0)
AERO ENG 5307  Vibrations I (LEC 3.0)
AERO ENG 5309  Engineering Acoustics I (LEC 3.0)
AERO ENG 5313  Intermediate Dynamics of Mechanical and Aerospace Systems (LEC 3.0)
AERO ENG 5353  Aeroelasticity (LEC 3.0)
AERO ENG 5361  Flight Dynamics-Stability And Control (LEC 3.0)
AERO ENG 5449  Robotic Manipulators and Mechanisms (LAB 1.0 and LEC 2.0)
AERO ENG 5478  Mechatronics (LAB 1.0 and LEC 2.0)
AERO ENG 5481  Mechanical and Aerospace Control Systems (LEC 3.0)
AERO ENG 5519  Advanced Thermodynamics (LEC 3.0)
AERO ENG 5525  Intermediate Heat Transfer (LEC 3.0)
AERO ENG 5527  Combustion Processes (LEC 3.0)
AERO ENG 5535  Aerospace Propulsion Systems (LEC 3.0)
AERO ENG 5539  Modeling Across Scales in Computational Mechanics (LEC 3.0)
AERO ENG 5570  Plasma Physics I (LEC 3.0)
AERO ENG 5614  Spaceflight Mechanics (LEC 3.0)
AERO ENG 5715  Concurrent Engineering (LEC 3.0)
AERO ENG 5758  Integrated Product Development (LAB 1.0 and LEC 2.0)
AERO ENG 5760  Probabilistic Engineering Design (LEC 3.0)
AERO ENG 5830  Applied Computational Methods (LEC 3.0)
ARCH ENG 2001  Special Topics (IND 0.0-6.0)
ARCH ENG 2002  Cooperative Engineering Training (IND 1.0)
ARCH ENG 2003  Engineering Communications and Computations (LAB 1.0 and LEC 2.0)
ARCH ENG 2103  Architectural Materials And Methods Of Construction (LAB 1.0 and LEC 2.0)
ARCH ENG 3000  Special Problems (IND 1.0-6.0)
ARCH ENG 3001  Special Topics (IND 0.0-6.0)
ARCH ENG 3201  Structural Analysis I (LAB 1.0 and LEC 2.0)
ARCH ENG 3210  Structural Design in Metals (LAB 1.0 and LEC 2.0)
ARCH ENG 3220  Reinforced Concrete Design (LAB 1.0 and LEC 2.0)
ARCH ENG 3804  Architectural Design II (LAB 2.0 and LEC 1.0)
ARCH ENG 4010  Senior Seminar: Engineering In A Global Society (RSD 1.0)
ARCH ENG 4097  Senior Design Project (LEC 3.0)
ARCH ENG 4099  Undergraduate Research (IND 0.0-6.0)
"ARCH ENG 4447  Ethical, Legal and Professional Engineering Practice (LEC 2.0)"
ARCH ENG 4448  Fundamentals Of Construction Engineering & Management (LEC 3.0)
ARCH ENG 4800  Principles of HVAC I (LEC 3.0)
ARCH ENG 4850  Building Electrical Systems (LEC 3.0)
ARCH ENG 5000  Special Problems (IND 0.0-6.0)
ARCH ENG 5001  Special Topics (LAB 1.0 and LEC 2.0)
ARCH ENG 5203  Applied Mechanics In Structural Engineering (LEC 3.0)
ARCH ENG 5205  Structural Analysis II (LEC 3.0)
ARCH ENG 5206  Low-Rise Building Analysis And Design (LEC 3.0)
ARCH ENG 5207  Computer Methods of Structural Analysis (LEC 3.0)
ARCH ENG 5208  Structural Dynamics (LEC 3.0)
ARCH ENG 5210  Advanced Steel Structures Design (LEC 3.0)
ARCH ENG 5220  Advanced Concrete Structures Design (LEC 3.0)
ARCH ENG 5222  Prestressed Concrete Design (LEC 3.0)
ARCH ENG 5231  Infrastructure Strengthening with Composites (LEC 3.0)
ARCH ENG 5260  Analysis And Design Of Wood Structures (LEC 3.0)
ARCH ENG 5270  Structural Masonry Design (LEC 3.0)
ARCH ENG 5442  Construction Planning and Scheduling Strategies (LEC 3.0)
ARCH ENG 5445  Construction Methods (LEC 3.0)
ARCH ENG 5446  Management Of Construction Costs (LEC 3.0)
ARCH ENG 5448  Green Engineering: Analysis of Constructed Facilities (LEC 3.0)
ARCH ENG 5449  Engineering and Construction Contract Specifications (LEC 3.0)
"ARCH ENG 5642  Sustainability, Population, Energy, Water, and Materials (LEC 3.0)"
ARCH ENG 5665  Indoor Air Pollution (LEC 3.0)
ARCH ENG 5729  Foundation Engineering II (LEC 3.0)
ARCH ENG 5820  Building Lighting Systems (LEC 3.0)
ARCH ENG 5850  Renewable Energy -PV Fundamentals (LEC 3.0)
ART 1120  Drawing I (LEC 3.0)
ART 1140  Painting I (LEC 3.0)
ART 1164  Sculpture (LEC 3.0)
ART 1180  Art Appreciation (LEC 3.0)
ART 1185  Study Of Film (LAB 1.0 and LEC 2.0)
ART 2000  Special Problems (IND 0.0-6.0)
ART 2001  Special Topics (LEC 0.0-6.0)
ART 2130  Advanced Drawing (LEC 3.0)
ART 2150  Advanced Painting (LEC 3.0)
ART 3000  Special Problems (IND 0.0-6.0)
ART 3001  Special Topics (LAB 1.5 and LEC 1.5)
ART 3100  Advanced Art Studio (LAB 1.5 and LEC 1.5)
ART 3203  Architectural Design I (LAB 2.0 and LEC 1.0)
ART 3221  Fundamentals in Photography (LEC 3.0)
ART 3222  Revolution And Romanticism In The Arts 1785 - 1832 (LEC 3.0)
ART 3245  Thomas Hart Benton And The Tradition Of American Art (LEC 3.0)
ART 3250  Thematic Studies In Film & Literature (LEC 3.0)
ART 3260  Exploring Digital Art (LAB 1.5 and LEC 1.5)
ART 3275  Foundations of Media Communication (LEC 3.0)
ART 3276  Thematics Studies in Film and Philosophy (LEC 3.0)
ART 3500  Innovation Through Design Thinking (LAB 3.0)
ART 4000  Special Problems (IND 0.0-6.0)
ART 4001  Special Topics (IND 0.0-6.0)
ART 4320  French and Francophone Cinema (LEC 3.0)
BIO SCI 1001  Special Topics (LEC 0.0-6.0)
BIO SCI 1103  Microbes And Man -- Introductory Microbiology (LEC 3.0)
BIO SCI 1113  General Biology (LEC 3.0)
BIO SCI 1163  Biotechnology in Film (LEC 3.0)
BIO SCI 1173  Introduction to Environmental Sciences (LEC 3.0)
BIO SCI 1201  Biological Sciences Freshman Seminar (RSD 1.0)
BIO SCI 1213  Principles of Biology (LEC 3.0)
BIO SCI 1219  General Biology Lab (LAB 1.0)
BIO SCI 1223  Biodiversity (LEC 3.0)
BIO SCI 1229  Biodiversity Lab (LAB 1.0)
BIO SCI 1943  Introduction to Human Anatomy and Physiology I (LEC 3.0)
BIO SCI 1953  Introduction to Human Anatomy and Physiology II (LEC 3.0)
BIO SCI 1982  Introduction to Biomedical Problems (LEC 3.0)
BIO SCI 1983  Introduction to Biological Design and Innovation (LAB 3.0)
BIO SCI 2001  Special Topics (LAB 2.0 and LEC 1.0)
BIO SCI 2213  Cell Biology (LEC 3.0)
BIO SCI 2219  Cell Biology Laboratory (LAB 1.0)
BIO SCI 2223  General Genetics (LEC 3.0)
BIO SCI 2242  Cave Biology (LAB 1.0 and LEC 1.0)
BIO SCI 2243  Sleep: Function and Dysfunction (LEC 3.0)
BIO SCI 2252  Vegetation of the Ozarks (LAB 1.0 and LEC 1.0)
BIO SCI 2263  Ecology (LEC 3.0)
BIO SCI 2264  Field Ecology (LAB 1.0 and LEC 1.0)
BIO SCI 2333  Nutrition (LEC 3.0)
BIO SCI 2353  Zoology (LEC 3.0)
BIO SCI 2359  Zoology Laboratory (LAB 1.0)
BIO SCI 2372  Issues in Public Health (LEC 3.0)
BIO SCI 2383  Plant Biology (LEC 3.0)
BIO SCI 2389  Plant Biology Laboratory (LAB 1.0)
BIO SCI 3000  Special Problems (IND 0.0-6.0)
BIO SCI 3001  Special Topics (LAB 0.0 and LEC 0.0)
BIO SCI 3110  Introduction to Biomedical Engineering (LEC 3.0)
BIO SCI 3233  Evolution (LEC 3.0)
BIO SCI 3313  Microbiology (LEC 3.0)
BIO SCI 3319  Microbiology Lab (LAB 2.0)
BIO SCI 3333  Human Anatomy and Physiology I (LEC 3.0)
BIO SCI 3339  Human Anatomy Physiology I Lab (LAB 1.0)
BIO SCI 3343  Human Anatomy and Physiology II (LEC 3.0)
BIO SCI 3349  Human Anatomy and Physiology II Laboratory (LAB 1.0)
BIO SCI 3353  Comparative Vertebrate Anatomy (LAB 2.0 and LEC 2.0)
BIO SCI 3359  Physiology Lab (LAB 1.0)
BIO SCI 3363  Ecophysiology (LEC 3.0)
BIO SCI 3383  Plant Physiology (LEC 3.0)
BIO SCI 3483  Biomedical Problems (LEC 3.0)
BIO SCI 3783  Biological Design and Innovation I (LAB 3.0)
BIO SCI 4001  Special Topics (LAB 0.0 and LEC 0.0)
BIO SCI 4010  Seminar (RSD 1.0)
