AAS 100  Intro Asian American Studies  credit: 3 Hours. 
AAS 105  Introduction to Arab American Studies  credit: 3 Hours. 
AAS 120  Intro to Asian Am Pop Culture  credit: 3 Hours. 
AAS 199  Undergraduate Open Seminar  credit: 1 to 5 Hours. 
AAS 200  U.S. Race and Empire  credit: 3 Hours. 
AAS 201  US Racial & Ethnic Politics  credit: 3 Hours. 
AAS 211  Asian Americans and the Arts  credit: 3 Hours. 
AAS 215  US Citizenship Comparatively  credit: 3 Hours. 
AAS 246  Asian American Youth in Film  credit: 3 Hours. 
AAS 258  Muslims in America  credit: 3 Hours. 
AAS 260  Intro Asian American Theatre  credit: 3 Hours. 
AAS 265  Politics of Hip Hop  credit: 3 Hours. 
AAS 275  The Politics of Fashion  credit: 3 Hours. 
AAS 281  Constructing Race in America  credit: 3 Hours. 
AAS 282  Feminist and Queer Activisms  credit: 3 Hours. 
AAS 283  Asian American History  credit: 3 Hours. 
AAS 286  Asian American Literature  credit: 3 Hours. 
AAS 287  Food and Asian Americans  credit: 3 Hours. 
AAS 288  Global Islam and Feminisms  credit: 3 Hours. 
AAS 290  Individual Study  credit: 2 to 3 Hours. 
AAS 291  Hinduism in the United States  credit: 3 Hours. 
AAS 297  Asian Families in America  credit: 3 Hours. 
AAS 299  Begin Topics Asian Am Studies  credit: 3 Hours. 
"AAS 300  Theories of Race, Gender, and Sexuality  credit: 3 Hours. "
AAS 310  Race and Cultural Diversity  credit: 4 Hours. 
"AAS 315  War, Memory, and Cinema  credit: 3 Hours. "
AAS 317  Asian American Politics  credit: 3 Hours. 
AAS 328  Asian Americans & Inequalities  credit: 3 Hours. 
AAS 343  Criminalization and Punishment  credit: 3 Hours. 
AAS 346  Asian American Youth  credit: 3 Hours. 
AAS 355  Race and Mixed Race  credit: 3 Hours. 
AAS 357  Literatures of the Displaced  credit: 3 Hours. 
AAS 365  Asian American Media and Film  credit: 3 Hours. 
"AAS 370  Immigration, Law, and Rights  credit: 3 Hours. "
